id,image,firstname,middlename,lastname,email,date_of_birth,gender,phone,address,state_of_origin,local_govt,next_of_kin,jamb_score,admission_status
1,,Noami,Ada,Tetteh,noami@gmail.com,1990-10-28,male,242569545,"Accra
East Legon Hills",Delta State,Isoko North,Donald Mensah,100,undecided
2,,Kwame,Kusi,Owusu,kwame.owusu1@gmail.com,1990-10-28,Male,242091252,Cape Coast,Abia,Arochukwu,Benjamin Quaye,240,undecided
3,,Kofi,Amu,Frimpong,kofi.frimpong2@gmail.com,1990-10-28,Male,248823651,Takoradi,Abia,Arochukwu,Abena Arthur,221,undecided
4,,Kojo,Ohui,Owusu,kojo.owusu3@gmail.com,1990-10-28,Male,245923783,Takoradi,Adamawa State,Gombi,Prince Addo,237,admitted
5,,Yaw,Aseidu,Quaye,yaw.quaye4@gmail.com,1990-10-28,Male,244120842,Takoradi,Adamawa State,Gombi,Joyce Ofori,247,admitted
6,,Kwabena,Kuku,Acheampong,kwabena.acheampong5@gmail.com,1990-10-28,Male,243008331,Cape Coast,Adamawa State,Gombi,Joyce Antwi,346,undecided
7,,Ama,Mansa,Nyarko,ama.nyarko6@gmail.com,1990-10-28,Female,245295151,Cape Coast,Bayelsa State,Ekeremor,Kojo Asare,328,admitted
8,,Akosua,Baaba,Kwarteng,akosua.kwarteng7@gmail.com,1990-10-28,Female,241849880,Cape Coast,Bayelsa State,Ekeremor,Bernice Addo,248,undecided
9,,Abena,Serwaa,Appiah,abena.appiah8@gmail.com,1990-10-28,Female,246820361,Tamale,Bayelsa State,Ekeremor,Eric Boateng,178,undecided
10,,Adwoa,Manu,Acheampong,adwoa.acheampong9@gmail.com,1990-10-28,Female,246057601,Cape Coast,Bayelsa State,Ekeremor,Nana Kwarteng,264,admitted
11,,Efua,Nyaniba,Nyarko,efua.nyarko10@gmail.com,1990-10-28,Female,249724529,Tamale,Bayelsa State,Ekeremor,Patience Acheampong,258,admitted
12,,Nana,Kweku,Appiah,nana.appiah11@gmail.com,1990-10-28,Male,242587602,Takoradi,Bayelsa State,Ekeremor,Kojo Owusu,239,undecided
13,,Yaw,Adjei,Tetteh,yaw.tetteh12@gmail.com,1990-10-28,Male,248564856,Cape Coast,Bayelsa State,Ekeremor,Mabel Mensah,130,undecided
14,,Fiifi,Nsaiba,Quaye,fiifi.quaye13@gmail.com,1999-12-14,Male,246706883,Kumasi,Benue State,Konshisha,Yaw Agyeman,207,undecided
15,,Esi,Adutwum,Mensah,esi.mensah14@gmail.com,2005-11-17,Female,247892335,Cape Coast,Benue State,Konshisha,Linda Asare,196,undecided
16,,Mawuli,Bobo,Arthur,mawuli.arthur15@gmail.com,2001-06-18,Male,241242856,Ho,Benue State,Konshisha,Stephen Owusu,306,undecided
17,,Selorm,Eyram,Darko,selorm.darko16@gmail.com,2001-07-09,Male,241063693,Kumasi,Benue State,Konshisha,Joyce Mensah,183,undecided
18,,Elorm,Ama,Darko,elorm.darko17@gmail.com,2003-04-24,Male,246492262,Accra,Benue State,Konshisha,Fiifi Quaye,129,undecided
